City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
110,chimore,-16.9833,-65.1333,11.29,80,100,0.37,BO,1720528940
111,muisne,0.6,-80.0333,24.7,90,100,4.58,EC,1720528941
112,olonkinbyen,70.9221,-8.7187,2.97,96,100,6.28,SJ,1720528468
113,motygino,58.1831,94.7592,20.87,62,88,2.21,RU,1720528943
114,port alfred,-33.5906,26.891,20.66,29,99,3.58,ZA,1720528944
115,taungoo,18.9333,96.4333,25.46,91,100,1.78,MM,1720528946
116,pavuluru,15.8529,80.1647,29.43,65,100,3.23,IN,1720528947
117,west end,26.6833,-78.9667,25.99,73,100,3.09,BS,1720528948
118,natal,-5.795,-35.2094,27.12,78,40,2.06,BR,1720528535
119,jaca,42.569,-0.5499,28.88,36,100,4.69,ES,1720528950
120,leava,-14.3,-178.1667,26.72,81,97,12.03,WF,1720528951
121,bikenibeu village,1.3673,173.1241,28.98,79,75,2.57,KI,1720528953
122,anadyr,64.75,177.4833,11.28,66,40,7.0,RU,1720528954
123,basmakci,37.8972,30.0117,35.95,26,75,5.63,TR,1720528955
124,alofi,-19.0595,-169.9187,21.94,53,100,8.23,NU,1720528539
125,new norfolk,-42.7826,147.0587,11.72,95,100,1.15,AU,1720528394
126,longyearbyen,78.2186,15.6401,4.91,81,75,6.69,SJ,1720528317
127,zaozersk,69.4005,32.4476,11.58,86,97,5.08,RU,1720528632
128,arraial do cabo,-22.9661,-42.0278,21.98,88,75,5.14,BR,1720528400
129,claveria,18.6074,121.0832,26.76,86,90,1.7,PH,1720528963
130,campo gallo,-26.5833,-62.85,7.41,60,5,2.16,AR,1720528964
131,portland,45.5234,-122.6762,21.22,77,20,1.54,US,1720528893
132,aldan,58.6031,125.3894,14.08,70,4,3.72,RU,1720528967
133,villa gesell,-37.2639,-56.973,3.48,61,100,3.62,AR,1720528970
134,dakhla,23.6848,-15.958,23.01,64,0,13.89,EH,1720528972
135,lamu,-2.2717,40.902,26.52,78,100,6.49,KE,1720528973
136,talnakh,69.4865,88.3972,21.63,49,39,5.69,RU,1720528402
137,winterset,41.3308,-94.0138,19.76,89,100,2.35,US,1720528976
138,howrah,22.5892,88.3103,33.0,66,40,6.17,IN,1720528680
139,sudislavl',57.8817,41.7083,27.36,46,100,3.58,RU,1720528978
140,altai,46.3722,96.2583,18.25,48,100,1.71,MN,1720528979
141,bure,10.7,37.0667,17.49,87,95,1.09,ET,1720528980
142,ajaigarh,24.9,80.2667,35.41,49,100,1.79,IN,1720528981
143,chui,-33.6971,-53.4616,8.07,80,97,4.66,UY,1720528983
144,belyy yar,53.6039,91.3903,24.94,57,40,7.0,RU,1720528984
145,tromso,69.6496,18.957,11.01,71,75,4.12,NO,1720528478
